Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC connection,PC identifier,PC name,DCDC,Filterboard DCS,Filterboard power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED crate,FED ID,,,,,,
FPix_BmI_D2_BLD2_PNL1_RNG1,,2B,M-K-1-39,9059,11,2Ba,2BA,4,,,,,,,2,,9,,,-z up left 3,2,-z up left 2,3,2,red-7,37/38,1,b,down center,1294,,,,,,
FPix_BmI_D2_BLD3_PNL1_RNG1,,3B,M-K-1-34,9021,12,2Ba,2BA,6,,,,,,,3,,9,,,-z up left 3,3,-z up left 2,3,3,red-7,13/14,2,a,down center,1295,,,,,,
FPix_BmI_D2_BLD4_PNL1_RNG1,,4B,M-K-1-32,9024,10,2Bb,2BB,2,,,,,,,5,,9,,,-z up left 4,1,-z up left 2,3,5,gray-5,9/10,3,a,down center,1296,,,,,,
FPix_BmI_D2_BLD5_PNL1_RNG1,,5B,M-K-1-30,9025,11,2Bb,2BB,6,,,,,,,7,,9,,,-z up left 4,3,-z up left 2,3,7,gray-5,9/10,4,a,down center,1297,,,,,,
FPix_BmI_D2_BLD6_PNL1_RNG1,,6B,M-K-1-24,9026,0,2Bc,2BC,2,,,,,,,12,,15,,,-z down left 4,4,-z down left 2,3,8,red-7,37/38,4,b,down center,1297,,,,,,
FPix_BmI_D2_BLD7_PNL1_RNG1,,7B,M-K-1-21,9027,12,2Bc,2BC,4,,,,,,,13,,15,,,-z down left 4,3,-z down left 2,3,9,red-7,13/14,5,a,down center,1298,,,,,,
FPix_BmI_D2_BLD8_PNL1_RNG1,,8B,M-K-1-18,9006,1,2Bc,2BC,6,,,,,,,18,,15,,,-z down left 4,2,-z down left 2,3,10,red-7,37/38,5,b,down center,1298,,,,,,
FPix_BmI_D2_BLD9_PNL1_RNG1,,9B,M-K-1-11,9004,10,2Bd,2BD,2,,,,,,,20,,15,,,-z down left 3,3,-z down left 2,3,12,gray-5,33/34,6,b,down center,1299,,,,,,
FPix_BmI_D2_BLD10_PNL1_RNG1,,10B,M-J-4-21,9010,11,2Bd,2BD,4,,,,,,,21,,15,,,-z down left 3,2,-z down left 2,3,13,gray-5,9/10,7,a,down center,1300,,,,,,
FPix_BmI_D2_BLD11_PNL1_RNG1,,11B,M-J-4-18,9012,12,2Bd,2BD,6,,,,,,,22,,15,,,-z down left 3,1,-z down left 2,3,14,gray-5,33/34,7,b,down center,1300,,,,,,
FPix_BmI_D2_BLD1_PNL2_RNG2,HC1-Disk2-Outer,1T,M-L-4-07,6118,9,2Ta,2TA,1,,,,,,,1,,9,,,-z up left 3,1,-z up left 2,3,1,white-6,11/12,1,a,down center,1294,BmI,,,,,
FPix_BmI_D2_BLD2_PNL2_RNG2,,2T,M-Y-T-NP,6120,8,2Ta,2TA,3,,,,,,,2,,9,,,-z up left 3,2,-z up left 2,3,2,white-6,35/36,1,b,down center,1294,,,,,,
FPix_BmI_D2_BLD3_PNL2_RNG2,,3T,M-I-3-01,6103,7,2Ta,2TA,5,,,,,,,3,,9,,,-z up left 3,3,-z up left 2,3,3,white-6,11/12,2,a,down center,1295,,,,,,
FPix_BmI_D2_BLD4_PNL2_RNG2,,4T,M-J-1-10,6101,6,2Ta,2TA,7,,,,,,,4,,9,,,-z up left 3,4,-z up left 2,3,4,white-6,35/36,2,b,down center,1295,,,,,,
FPix_BmI_D2_BLD5_PNL2_RNG2,,5T,M-L-3-10,6016,13,2Tb,2TB,1,,,,,,,4,,9,,,-z up left 3,4,-z up left 2,3,4,black-8,39/40,2,b,down center,1295,,,,,,
FPix_BmI_D2_BLD6_PNL2_RNG2,,6T,M-O-3-35,6028,12,2Tb,2TB,3,,,,,,,5,,9,,,-z up left 4,1,-z up left 2,3,5,black-8,15/16,3,a,down center,1296,,,,,,
FPix_BmI_D2_BLD7_PNL2_RNG2,,7T,M-K-3-28,6034,9,2Tb,2TB,4,,,,,,,6,,9,,,-z up left 4,2,-z up left 2,3,6,white-6,35/36,3,b,down center,1296,,,,,,
FPix_BmI_D2_BLD8_PNL2_RNG2,,8T,M-Y-I-NC,6177,8,2Tb,2TB,5,,,,,,,6,,9,,,-z up left 4,2,-z up left 2,3,6,black-8,39/40,3,b,down center,1296,,,,,,
FPix_BmI_D2_BLD9_PNL2_RNG2,,9T,M-P-2-23,6188,7,2Tb,2TB,7,,,,,,,7,,9,,,-z up left 4,3,-z up left 2,3,7,black-8,15/16,4,a,down center,1297,,,,,,
